iter	Passed	Remaining
0	0	83
1	1	73
2	2	70
3	2	64
4	3	62
5	3	61
6	4	60
7	5	60
8	5	60
9	6	59
10	7	58
11	7	58
12	8	57
13	9	57
14	9	56
15	10	55
16	11	54
17	11	54
18	12	53
19	13	52
20	13	51
21	14	51
22	15	50
23	15	49
24	16	49
25	17	48
26	17	47
27	18	47
28	19	46
29	19	45
30	20	45
31	21	44
32	21	44
33	22	43
34	23	43
35	24	43
36	25	42
37	25	42
38	26	41
39	27	40
40	27	39
41	27	38
42	28	37
43	29	37
44	29	36
45	30	35
46	31	35
47	31	34
48	32	33
49	33	33
50	33	32
51	34	31
52	34	31
53	35	30
54	35	29
55	36	28
56	37	28
57	38	27
58	38	27
59	39	26
60	40	25
61	40	25
62	41	24
63	42	23
64	42	23
65	43	22
66	44	21
67	44	21
68	45	20
69	46	19
70	46	19
71	47	18
72	48	17
73	48	17
74	49	16
75	50	15
76	50	15
77	51	14
78	52	13
79	53	13
80	53	12
81	54	11
82	55	11
83	55	10
84	56	9
85	57	9
86	57	8
87	58	7
88	59	7
89	59	6
90	60	5
91	60	5
92	61	4
93	62	3
94	62	3
95	63	2
96	64	1
97	65	1
98	65	0
99	66	0
